#YYY/MM/DD,HH:mm:SS.ss,ET,GT,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
6/19/2014,08:20.7,eq,r,2.7,h,36.78133,-121.5745,5,B,37233864,11,170
6/23/2014,12:18.4,eq,r,1.7,h,35.4845,-120.79217,4.7,C,37235000,14,350
6/23/2014,13:15.3,eq,r,2,h,35.90383,-119.8425,6.5,C,37235008,15,149
6/25/2014,09:00.9,eq,r,1.7,l,35.88933,-119.84433,6.6,C,37235712,9,74
6/25/2014,30:02.4,eq,r,2.9,h,35.87917,-119.85367,13,D,37235752,54,2101
6/25/2014,12:23.4,eq,r,3.1,h,35.85317,-119.82567,4.5,D,37235984,75,2225
6/25/2014,02:52.7,eq,r,3,h,35.86217,-119.82483,6.5,C,37236200,33,2192
6/25/2014,01:36.1,eq,r,3.2,h,35.85433,-119.84133,1.7,D,37236296,74,2328
6/26/2014,00:54.4,eq,r,1.8,h,37.97533,-122.0045,17.9,D,37236336,4,75
6/26/2014,37:22.4,eq,r,2.4,h,36.71133,-121.35517,4.7,C,37236448,8,1046
6/26/2014,10:46.3,eq,r,2.6,h,35.8745,-119.82783,6.6,C,37236464,32,201
6/26/2014,35:30.6,eq,r,3,h,36.67733,-121.23617,8.9,B,37236656,8,95
6/27/2014,43:46.7,eq,r,1.8,h,35.79917,-120.348,5.5,C,37236848,13,90
6/27/2014,49:50.3,eq,r,2.4,h,35.87083,-119.8545,7.7,C,37236912,35,244
6/28/2014,44:01.2,eq,r,2.6,h,37.658,-119.43767,1.9,C,37237000,14,1155
6/28/2014,11:04.7,eq,r,1.9,h,35.665,-121.07883,9.1,A,37237096,9,88
6/30/2014,02:26.7,eq,r,2.8,h,37.1655,-118.60533,7.5,C,37237536,35,1822
6/30/2014,03:10.4,eq,r,2.87,l,31.33983,-115.48783,6.1,C,37205461,28,1648
7/1/2014,20:47.4,eq,r,2.2,h,37.4405,-118.81183,3.3,C,37237912,15,129
7/2/2014,30:33.8,eq,r,1.9,h,36.10783,-120.60667,13.2,B,37238808,11,142
7/2/2014,10:54.2,eq,r,3.75,l,31.10917,-116.00483,15.4,D,37238816,34,2201
7/3/2014,17:59.8,eq,r,1.51,l,35.82867,-119.755,1.2,A,15519033,17,42
7/3/2014,01:22.2,eq,r,2.1,l,36.61267,-120.53083,5.7,C,15519217,7,83
7/7/2014,29:57.1,eq,r,2.8,h,37.7195,-118.8735,5.1,C,15522873,28,1270
7/8/2014,31:09.4,eq,r,3.23,l,37.09283,-121.70783,5,C,15523369,10,171
7/8/2014,13:04.7,eq,r,2.57,l,37.671,-118.86283,3.3,A,15523417,11,48
7/8/2014,17:43.0,eq,r,3.1,l,36.97083,-121.48117,10.2,D,15523441,11,137
7/8/2014,01:30.6,eq,r,2.96,l,36.67583,-121.31367,11.2,D,15523465,8,135
7/8/2014,45:38.2,eq,r,2.55,l,37.07917,-121.4535,5,D,15523489,4,69
7/9/2014,44:40.8,eq,r,2.92,l,36.72667,-121.2255,13.5,B,15523993,7,190
7/10/2014,29:30.0,eq,r,1.5,h,37.67117,-118.85967,4,D,15524521,6,29
7/10/2014,07:13.6,eq,r,1.6,h,37.586,-118.85283,7.5,C,15524529,7,39
7/10/2014,15:14.7,eq,r,1.9,h,36.0155,-120.04967,13.9,B,15524817,12,149
7/10/2014,45:26.9,eq,r,2.2,h,37.44417,-118.88833,3.7,C,15525025,12,111
7/11/2014,37:36.5,eq,r,3.2,h,35.77467,-119.75083,22.6,A,15525225,34,2240
7/13/2014,43:45.0,eq,r,2.6,h,37.4485,-118.5325,6.4,C,15525953,19,103
7/13/2014,19:44.4,eq,r,2.4,h,36.25283,-121.79067,25.5,B,15525993,12,134
7/14/2014,01:18.8,eq,r,2.3,h,37.59417,-118.84083,6.4,B,15526361,8,35
7/15/2014,49:35.9,eq,r,1.72,l,35.94167,-119.94583,3.8,C,15526865,17,70
7/15/2014,42:56.2,eq,r,2.8,h,36.33383,-120.38133,19.8,C,15526921,32,234
7/15/2014,09:34.6,eq,r,3.2,h,36.96517,-121.45383,7.5,C,15527121,10,204
7/16/2014,27:37.9,eq,r,1.9,h,36.15733,-120.1695,22,C,15527297,13,83
7/20/2014,31:36.5,eq,r,1.78,l,35.56183,-120.828,4.6,C,37248432,15,848
7/22/2014,02:47.1,eq,r,1.27,l,36.05133,-120.57817,16.7,B,37249288,12,77
7/22/2014,56:33.4,eq,r,1.33,l,37.61833,-118.87417,3.1,B,37249312,6,35
7/22/2014,22:59.7,eq,r,1.4,l,37.593,-118.86717,5.7,C,37249320,9,40
7/22/2014,58:22.7,eq,r,2.37,l,37.59167,-118.8505,4.5,B,37249376,8,42
7/22/2014,11:02.9,eq,r,2.71,l,36.7665,-121.566,1.3,C,37249392,9,140
7/22/2014,46:39.7,eq,r,1.37,l,37.5765,-118.8725,1.6,C,37249496,8,34
7/23/2014,53:20.3,eq,r,2.09,l,38.25,-118.74733,7.6,C,37249904,6,60
7/23/2014,03:26.2,eq,r,1.44,l,38.28267,-118.73233,7.7,C,37249984,7,56
7/23/2014,13:44.7,eq,r,1.18,l,37.21867,-118.29417,3,C,37250088,8,78
7/24/2014,20:52.1,eq,r,2.64,l,35.74183,-121.15367,9.7,C,15530561,15,170
7/24/2014,44:53.5,eq,r,2.99,l,35.73767,-121.13583,5.1,C,15530577,11,2032
7/24/2014,16:13.9,eq,r,1.91,l,35.744,-121.1395,4.6,C,15530745,12,141
7/25/2014,18:39.1,eq,r,1.72,l,35.74367,-121.16333,13.4,C,15530777,9,76
7/25/2014,52:33.5,eq,r,2.69,l,36.17667,-120.1625,14.2,C,15530937,13,253
7/25/2014,35:31.8,eq,r,2.72,l,35.537,-121.36,11.8,C,15531025,17,1709
7/26/2014,54:59.7,eq,r,3.13,l,37.56167,-118.8465,3.9,C,15531249,14,223
7/26/2014,58:15.0,eq,r,1.56,l,36.169,-120.1385,15.3,C,15531321,10,81
7/27/2014,43:46.4,eq,r,1,l,37.19333,-118.65733,7.9,C,15531521,9,53
7/27/2014,27:09.2,eq,r,1.32,l,35.4975,-120.8555,12.9,A,15531737,11,83
7/29/2014,46:24.8,eq,r,2.18,l,35.947,-115.05617,11.8,C,15532553,13,62
7/30/2014,30:21.8,eq,r,2.1,h,37.3935,-118.62633,12.5,B,15532601,18,116
7/31/2014,13:24.0,eq,r,3.1,h,38.46683,-117.61617,7.4,D,15533321,17,190
8/2/2014,33:24.7,eq,r,1.4,h,35.7365,-121.13417,10.8,C,15533793,7,76
8/2/2014,27:59.5,eq,r,2.5,h,36.861,-121.601,6,Z,15533881,7,83
8/3/2014,02:10.1,eq,r,1.6,h,37.20267,-118.63733,16,C,15534025,14,53
8/3/2014,44:48.4,eq,r,1.9,h,35.92467,-120.48933,5.5,C,15534161,15,144
8/4/2014,57:24.5,eq,r,3.33,l,35.166,-113.33367,19.9,C,15534377,14,131
8/4/2014,00:33.2,eq,r,1.88,l,35.886,-119.832,4.9,C,15534425,25,166
8/5/2014,08:26.3,eq,r,2.6,h,36.116,-120.691,3,B,15534625,16,156
8/5/2014,13:43.2,eq,r,2.1,h,36.12417,-120.70467,1.5,B,15534633,9,111
8/5/2014,00:26.8,eq,r,2.4,h,37.4885,-119.40533,6.6,C,15535041,11,113
8/6/2014,07:33.0,eq,r,2.2,h,35.59183,-120.77033,7.5,C,37207261,8,1255
8/7/2014,03:29.6,eq,r,1.3,h,37.47633,-118.75467,14.9,C,15535665,9,30
8/8/2014,48:24.3,eq,r,3.4,h,35.94533,-120.4665,4.7,C,15536217,30,2527
8/9/2014,34:46.6,eq,r,2.9,h,36.89767,-121.70333,12,D,15536321,10,219
8/10/2014,40:03.6,eq,r,3.9,h,37.30917,-115.0225,4.9,C,15536761,17,377
8/10/2014,39:32.4,eq,r,3,h,37.296,-115.068,3.4,Z,15536817,11,124
8/10/2014,58:27.5,eq,r,2.1,h,35.83967,-121.55717,18,C,15536841,10,144
8/10/2014,28:00.1,eq,r,2.2,h,36.34117,-120.4145,6.6,C,15536873,15,152
8/12/2014,31:39.8,eq,r,2.8,h,37.49217,-119.4005,3.1,C,15537305,18,115
8/12/2014,04:02.1,eq,r,2.9,h,36.62717,-121.1465,14.1,D,15537321,14,153
8/12/2014,00:27.1,eq,r,2.4,h,36.50067,-121.37617,13.3,D,15537337,11,146
8/12/2014,06:24.2,eq,r,2.6,h,36.60283,-121.33583,19.3,C,15537729,11,144
8/13/2014,39:42.0,eq,r,2.7,h,37.45167,-118.62533,1.7,C,15537873,23,1572
8/14/2014,04:08.3,eq,r,1.6,h,37.22867,-118.27367,7.7,B,15538225,17,54
8/14/2014,31:11.2,eq,r,2.7,h,37.32133,-120.04683,20.6,B,15538233,13,127
8/14/2014,54:08.7,eq,r,2.5,h,37.37267,-120.02833,17.6,B,15538281,10,94
8/14/2014,36:29.0,eq,r,2.33,l,35.96183,-115.172,2.1,C,15538457,10,122
8/16/2014,26:59.9,eq,r,2.7,h,36.32,-120.874,4.3,C,37258568,12,149
8/16/2014,24:48.7,eq,r,1.6,h,37.49433,-118.7815,5.1,C,37258600,7,34
8/16/2014,30:23.0,eq,r,2.3,h,37.53233,-118.805,14,C,37258640,13,43
8/17/2014,12:30.1,eq,r,1.9,h,35.4835,-120.78917,1.1,A,37258824,14,1260
8/18/2014,03:19.1,eq,r,2.5,h,36.07283,-120.60983,4.4,B,37259256,15,175
8/18/2014,08:55.0,eq,r,2.6,h,37.336,-120.03,5.5,D,37259376,13,97
8/19/2014,27:17.9,eq,r,1.5,h,37.432,-118.543,9.9,C,37259800,8,66
8/20/2014,37:00.1,eq,r,2.8,h,35.83017,-121.57967,14.9,C,37259888,19,163
8/20/2014,34:20.4,eq,r,2.8,h,36.79817,-121.41733,23.6,D,37259920,10,147
8/21/2014,33:50.6,eq,r,3.8,h,36.67567,-121.00467,9.8,C,37260368,37,2315
8/21/2014,23:36.7,eq,r,3,l,31.2505,-115.897,7.9,C,37260392,13,133
8/21/2014,45:17.6,eq,r,2.8,h,37.49233,-118.8305,3,C,37260504,22,1688
8/21/2014,30:16.0,eq,r,1.79,l,37.48583,-118.87783,3.1,C,37260552,10,51
8/22/2014,09:10.6,eq,r,3,h,36.778,-121.391,2.5,D,37260640,13,150
8/23/2014,58:46.1,eq,r,1.6,h,37.426,-118.819,4.9,C,37260968,6,34
8/23/2014,23:59.9,eq,r,2.8,h,36.723,-121.49517,5.8,C,37261072,9,159
8/24/2014,47:12.5,eq,r,3.6,h,38.238,-122.3448,8.3,Z,37261240,10,64
8/26/2014,29:08.3,eq,r,2.13,l,36.2215,-119.6245,20.6,B,37261672,17,102
8/26/2014,15:44.9,eq,r,2.6,h,36.52683,-121.1815,14,C,37261800,10,166
8/27/2014,48:15.1,eq,r,2.2,h,37.6115,-118.86767,5.4,B,37262032,9,46
8/27/2014,50:09.5,eq,r,1.8,h,37.622,-118.8685,4.2,B,37262040,8,35
8/27/2014,57:19.9,eq,r,2.6,h,38.2555,-122.34317,2.8,C,37262064,12,92
8/27/2014,50:07.2,eq,r,1.6,h,37.63567,-118.87283,1.6,B,37262080,5,33
8/29/2014,48:35.6,eq,r,2.23,l,36.62983,-119.3455,9.3,C,37262560,12,91
8/29/2014,32:06.0,eq,r,3.52,l,36.67133,-121.345,6.6,D,37262672,11,273
8/30/2014,32:06.5,eq,r,1.63,l,37.47617,-118.82733,6.3,C,37262704,8,39
8/30/2014,45:27.6,eq,r,2.22,l,35.7635,-121.17883,13,C,37262816,14,142
8/31/2014,48:40.6,eq,r,2.7,h,36.6495,-121.318,18.1,D,37263104,7,145
8/31/2014,56:21.5,eq,r,3.2,h,38.24083,-122.33083,7.2,C,37263168,12,56
8/31/2014,25:53.4,eq,r,2,h,35.494,-120.78333,1.1,A,37263216,17,1091
9/1/2014,10:37.3,eq,r,3.4,h,36.9645,-121.43433,5.6,C,37263496,13,261
9/1/2014,09:40.7,eq,r,1.8,h,37.426,-118.8235,3.1,C,37263504,7,43
9/3/2014,54:21.2,eq,r,1.08,l,37.419,-118.73283,14.4,C,37264072,12,38
9/3/2014,31:06.5,eq,r,3.29,l,31.27,-115.94017,2.9,C,37264336,31,345
9/4/2014,10:59.1,eq,r,2.9,h,36.96033,-121.47917,6,C,37264456,12,152
9/5/2014,01:37.9,eq,r,2.7,h,36.49667,-121.04767,6,C,37264800,12,142
9/5/2014,00:03.5,eq,r,2.1,h,35.62367,-120.71167,4.6,C,37264936,16,896
9/6/2014,08:17.7,eq,r,2.67,l,31.49333,-115.55183,1,C,37265136,14,112
9/6/2014,42:31.5,eq,r,1.9,h,35.60883,-120.51583,4.7,C,37265200,24,700
9/7/2014,45:09.1,eq,r,2.1,h,35.62033,-120.71617,4.2,C,37265400,24,1107
9/8/2014,37:15.2,eq,r,1.8,h,35.518,-121.323,1.4,C,37265936,15,155
9/9/2014,02:05.6,eq,r,2.6,h,36.6995,-121.348,10.7,C,37266312,10,177
9/9/2014,06:35.1,eq,r,2.6,h,36.6905,-121.37467,11.5,C,37266336,12,175
9/11/2014,09:28.9,eq,r,1.7,h,37.45083,-118.84167,5.8,C,37266952,13,29
9/11/2014,50:59.6,eq,r,2.6,h,36.59917,-121.56433,19.9,D,37267064,11,169
9/12/2014,44:20.8,eq,r,2.6,h,36.6815,-121.66833,5.4,C,37267472,10,158
9/13/2014,45:42.3,eq,r,1,h,37.49383,-118.85167,11.7,C,37267536,8,49
9/13/2014,24:15.2,eq,r,1.9,h,37.39033,-118.80017,1.4,C,37267600,12,79
9/13/2014,53:54.1,eq,r,1.1,h,37.84817,-119.12833,6.2,D,37267760,7,32
9/13/2014,54:47.1,eq,r,2,h,37.43233,-118.54633,14.6,C,37267768,11,57
9/13/2014,11:44.3,eq,r,2.2,h,37.50767,-119.38333,4.7,C,37267824,11,47
9/14/2014,15:45.8,eq,r,1.6,h,37.31583,-118.77617,18.9,C,37267992,13,48
9/14/2014,46:21.4,eq,r,1.1,h,37.54817,-118.8365,5.1,C,37268024,6,47
9/15/2014,50:09.6,eq,r,4.7,h,30.611,-114.247,9.9,Z,37268224,9,0
9/15/2014,25:05.0,eq,r,3.5,h,30.42317,-114.23033,7,C,37268232,13,1488
9/15/2014,42:33.9,eq,r,4.5,h,30.3355,-113.99633,10,D,37268352,39,2566
9/15/2014,27:20.6,eq,r,4.8,h,30.432,-114.258,10,Z,37268392,6,2567
9/15/2014,01:14.9,eq,r,4.6,h,30.604,-114.291,10,Z,37268472,27,2568
9/16/2014,51:14.7,eq,r,4.4,h,30.647,-114.239,14.1,Z,37268872,16,2595
9/17/2014,13:06.9,eq,r,4.2,h,30.79,-114.164,10,Z,37269152,27,1872
9/20/2014,06:05.3,eq,r,1.9,h,37.1335,-118.683,1.4,C,37042695,12,47
9/20/2014,51:19.4,eq,r,2.4,h,36.672,-121.109,4.8,C,37042855,9,157
9/20/2014,27:31.1,eq,r,2.4,h,37.47867,-119.3935,9,D,37042871,10,62
9/21/2014,03:05.5,eq,r,2.3,h,35.80767,-121.8655,1.9,D,37043119,7,138
9/21/2014,16:30.0,eq,r,3.5,h,30.79,-114.164,9.1,Z,37043135,0,0
9/21/2014,19:26.5,eq,r,2.1,h,36.57483,-121.61617,10.7,D,37043247,11,163
9/22/2014,08:00.5,eq,r,1.3,h,37.445,-118.83567,4.6,C,37043399,6,25
9/22/2014,48:37.1,eq,r,1.8,h,37.51683,-118.67967,16.1,B,37043431,13,53
9/22/2014,33:35.5,eq,r,1.1,h,37.6285,-118.84617,2.2,B,37043447,6,49
9/22/2014,19:39.3,eq,r,1.5,h,37.571,-118.84033,2.1,B,37043567,9,42
9/23/2014,13:18.4,eq,r,1.9,h,37.60617,-118.84667,5.4,B,37043759,7,45
9/23/2014,16:06.6,eq,r,1.8,h,37.6005,-118.84383,5.6,B,37043767,7,56
9/23/2014,19:20.0,eq,r,1.5,h,37.5945,-118.8445,5.3,B,37043775,7,37
9/23/2014,09:50.1,eq,r,1.6,h,37.59567,-118.84767,5,B,37043791,6,27
9/23/2014,01:25.4,eq,r,1.6,h,37.606,-118.84833,5.6,B,37043799,7,47
9/23/2014,35:24.8,eq,r,1.4,h,37.617,-118.847,2.3,B,37043807,7,45
9/23/2014,38:37.5,eq,r,1.8,h,37.64517,-118.84967,3.3,B,37043815,6,39
9/23/2014,11:38.6,eq,r,1.1,h,37.611,-118.8455,5.3,B,37043831,6,54
9/23/2014,11:59.4,eq,r,1.27,l,35.90933,-119.84967,5.9,C,37225333,15,2081
9/23/2014,08:27.8,eq,r,1.7,h,37.58417,-118.84817,3.2,B,37043855,7,45
9/24/2014,23:03.4,eq,r,2.61,l,34.74717,-121.5475,6.4,C,37044183,19,1691
9/25/2014,09:11.5,eq,r,1.4,h,37.58933,-118.83967,4.6,B,37044391,9,36
9/25/2014,07:05.2,eq,r,2,h,37.57517,-118.83333,4,C,37044431,7,37
9/25/2014,53:22.5,eq,r,1.5,h,37.61,-118.81783,8.8,D,37044439,5,34
9/25/2014,21:47.6,eq,r,2,h,37.58933,-118.84267,4,B,37044479,8,60
9/25/2014,03:41.6,eq,r,2.5,h,37.57417,-118.84583,1.4,C,37044495,9,59
9/25/2014,04:49.4,eq,r,2.2,h,37.57383,-118.84633,1.6,C,37044511,9,53
9/25/2014,07:49.0,eq,r,3,h,37.64633,-118.86667,6,B,37044551,12,64
9/25/2014,09:02.9,eq,r,2.9,h,37.592,-118.8415,4.6,C,37044559,16,259
9/25/2014,24:34.6,eq,r,2.1,h,37.57817,-118.845,1.6,B,37044567,9,31
9/25/2014,28:25.9,eq,r,2.3,h,37.57717,-118.84533,4.7,C,37044575,10,39
9/25/2014,10:06.0,eq,r,1.8,h,37.5715,-118.84567,2,C,37044583,6,60
9/25/2014,12:04.8,eq,r,1.8,h,37.575,-118.8425,2.9,C,37044591,8,51
9/25/2014,42:55.0,eq,r,2.9,h,37.61683,-118.895,3.2,D,37044607,13,43
9/25/2014,54:29.8,eq,r,2.9,h,37.6525,-118.86783,5.3,B,37044623,12,37
9/25/2014,56:04.2,eq,r,2.9,h,37.56417,-118.84067,1.7,C,37044639,6,62
9/25/2014,57:47.9,eq,r,2.4,h,37.63583,-118.849,3.4,B,37044655,6,45
9/25/2014,59:41.4,eq,r,1.4,h,37.668,-118.832,8.1,B,37044671,7,38
9/26/2014,00:54.5,eq,r,2.3,h,37.56683,-118.84483,1.7,C,37044679,6,52
9/26/2014,05:08.1,eq,r,2.1,h,37.56933,-118.84233,1.5,C,37044687,8,39
9/26/2014,17:43.9,eq,r,1.6,h,37.58683,-118.84417,4.3,B,37044695,7,41
9/26/2014,22:54.6,eq,r,1.8,h,37.583,-118.83783,4.2,B,37044703,7,43
9/26/2014,28:29.2,eq,r,2.4,h,37.57517,-118.83617,4.3,C,37044711,7,34
9/26/2014,30:09.8,eq,r,3.2,h,37.65317,-118.86783,4.6,B,37044719,11,254
9/26/2014,32:19.4,eq,r,2.2,h,37.57067,-118.83867,1.7,B,37044727,7,41
9/26/2014,44:47.5,eq,r,2.9,h,37.61817,-118.86283,4.9,B,37044735,11,249
9/26/2014,48:38.5,eq,r,2.5,h,37.57833,-118.83983,4.3,B,37044743,8,59
9/26/2014,52:08.3,eq,r,2.9,h,37.65433,-118.8635,3.6,B,37044759,11,117
9/26/2014,53:51.9,eq,r,2.4,h,37.56783,-118.84,1.6,C,37044767,8,33
9/26/2014,06:42.0,eq,r,2.3,h,37.58683,-118.84067,5,B,37044775,8,32
9/26/2014,19:06.5,eq,r,1.8,h,37.56883,-118.84667,1.3,C,37044783,7,32
9/26/2014,34:55.3,eq,r,2.2,h,37.5895,-118.845,5,B,37044799,6,40
9/26/2014,52:19.5,eq,r,1.9,h,37.58567,-118.84083,5,B,37044815,7,37
9/26/2014,32:45.5,eq,r,3.5,h,37.67017,-118.90917,3.9,C,37044839,13,2346
9/26/2014,55:00.0,eq,r,2.9,h,37.67883,-118.78067,4.3,D,37044855,11,1634
9/26/2014,59:31.9,eq,r,1.1,h,37.63783,-118.8475,2.6,B,37044863,6,39
9/26/2014,02:06.0,eq,r,2.6,h,37.76333,-118.84633,7.5,D,37044871,15,1185
9/26/2014,17:00.9,eq,r,3,h,37.66267,-118.85333,1.1,A,37044879,10,191
9/26/2014,25:32.1,eq,r,2.8,h,37.66033,-118.8905,3.9,C,37044895,14,1764
9/26/2014,28:24.2,eq,r,2.9,h,37.651,-118.85367,2.2,B,37044903,11,204
9/26/2014,09:34.9,eq,r,1.6,h,37.63067,-118.84617,4.2,B,37044943,6,22
9/26/2014,39:22.2,eq,r,2.1,h,37.63917,-118.85117,2.3,B,37044951,6,26
9/26/2014,46:24.8,eq,r,3,h,37.6815,-118.85183,1.6,A,37044967,11,227
9/26/2014,58:31.2,eq,r,2.7,h,37.67,-118.85183,2.9,B,37044975,7,37
9/26/2014,01:26.4,eq,r,1.8,h,37.64083,-118.84583,3.2,B,37044991,6,38
9/26/2014,30:23.4,eq,r,2.9,h,37.64367,-118.8505,3.7,B,37044999,10,176
9/26/2014,32:19.9,eq,r,1.9,h,37.63083,-118.8475,3.8,B,37045007,5,33
9/26/2014,36:01.6,eq,r,1,h,37.63867,-118.84783,3.3,B,37045015,5,41
9/26/2014,40:29.3,eq,r,1.6,h,37.639,-118.8485,3.4,B,37045031,6,32
9/26/2014,10:44.9,eq,r,1.5,h,37.6355,-118.846,4.1,B,37045063,6,29
9/26/2014,26:30.7,eq,r,2.3,h,37.63467,-118.8445,4.1,B,37045079,7,34
9/26/2014,33:39.7,eq,r,2.9,h,37.653,-118.84917,2.9,B,37045087,8,41
9/26/2014,38:19.8,eq,r,1.8,h,37.661,-118.8475,4.5,B,37045103,8,30
9/26/2014,40:47.1,eq,r,2.4,h,37.62367,-118.84017,4,B,37045119,7,34
9/26/2014,42:20.7,eq,r,2.2,h,37.62767,-118.84217,4.5,B,37045127,8,20
9/26/2014,43:28.1,eq,r,1.4,h,37.642,-118.84533,6.2,B,37045135,8,22
9/26/2014,45:48.5,eq,r,1.4,h,37.6285,-118.84217,4.8,B,37045143,7,25
9/26/2014,49:59.9,eq,r,2.8,h,37.66233,-118.85117,3,A,37045151,12,84
9/26/2014,23:41.7,eq,r,1.4,h,37.62117,-118.845,3.8,B,37045159,5,29
9/26/2014,23:37.5,eq,r,2.8,h,37.675,-118.81017,1.3,D,37045207,39,1508
9/26/2014,04:38.3,eq,r,1.6,h,37.59733,-118.84333,6.1,B,37045239,6,37
9/26/2014,40:31.7,eq,r,2,h,37.58867,-118.8435,6.2,C,37045247,7,46
9/26/2014,44:24.1,eq,r,1.9,h,37.587,-118.85217,5.2,C,37045255,7,43
9/26/2014,15:51.5,eq,r,2.2,h,37.5915,-118.838,6.2,B,37045263,8,44
9/26/2014,20:02.6,eq,r,1.8,h,37.57717,-118.843,6.6,C,37045279,7,39
9/26/2014,30:17.1,eq,r,2,h,37.59183,-118.84667,5,B,37045287,8,46
9/26/2014,41:24.8,eq,r,1.8,h,37.58517,-118.84717,2.1,B,37045295,6,55
9/26/2014,31:22.7,eq,r,1.9,h,37.58417,-118.8475,2.2,B,37045319,9,40
9/26/2014,53:03.2,eq,r,1.9,h,37.598,-118.84533,4.2,B,37045327,7,52
9/26/2014,47:17.1,eq,r,1.8,h,37.59217,-118.84317,3.3,C,37045351,8,34
9/26/2014,53:58.2,eq,r,2.2,h,37.5795,-118.84817,1.9,B,37045367,8,56
9/26/2014,37:13.1,eq,r,1.7,h,37.58117,-118.84717,1.6,B,37045375,7,36
9/26/2014,38:40.8,eq,r,2,h,37.58417,-118.8465,2.6,B,37045383,8,40
9/26/2014,49:54.5,eq,r,2.4,h,37.61367,-118.87483,3.2,B,37045391,12,963
9/26/2014,57:36.0,eq,r,1.7,h,37.598,-118.84367,3.2,B,37045415,8,54
9/26/2014,19:55.4,eq,r,2,h,37.59567,-118.85567,2,B,37045439,8,50
9/26/2014,11:45.2,eq,r,1.2,h,37.63017,-118.85583,2.4,B,37045463,5,46
9/26/2014,15:04.1,eq,r,2.2,h,37.5785,-118.846,1.4,B,37045471,9,57
9/26/2014,18:10.6,eq,r,2.3,h,37.58083,-118.8515,1.3,C,37045479,6,41
9/27/2014,43:40.4,eq,r,2.5,h,35.67383,-121.067,2.4,C,37045519,14,145
9/27/2014,30:50.5,eq,r,1.4,h,37.59467,-118.84417,3.5,B,37045543,6,42
9/27/2014,17:50.9,eq,r,1.7,h,37.5955,-118.85733,2.5,B,37045559,7,26
9/27/2014,37:19.8,eq,r,1.6,h,37.59133,-118.86083,2,B,37045567,7,33
9/27/2014,54:50.0,eq,r,1.4,h,37.5825,-118.851,1.4,C,37045631,7,39
9/27/2014,44:04.6,eq,r,2,h,35.87967,-120.44783,5.3,C,37045671,15,149
9/27/2014,16:14.0,eq,r,2.9,h,37.84367,-118.8965,3.4,D,37045695,17,169
9/27/2014,32:55.8,eq,r,1.8,h,37.582,-118.85017,2,B,37045703,7,43
9/27/2014,05:06.2,eq,r,1.7,h,37.59033,-118.858,2,B,37045735,7,30
9/27/2014,59:21.1,eq,r,1.8,h,37.58017,-118.84683,2.2,B,37045751,7,40
9/27/2014,01:26.8,eq,r,3.84,l,31.35967,-115.40333,9.5,C,37045759,21,2376
9/28/2014,10:36.3,eq,r,3,h,37.6445,-118.99133,5.6,C,37045815,14,241
9/28/2014,40:35.1,eq,r,1.8,h,37.60767,-118.85033,4.5,B,37045927,8,41
9/28/2014,49:25.1,eq,r,2.6,h,36.67617,-120.79267,18,C,37045943,9,86
9/28/2014,45:12.8,eq,r,4.4,h,36.636,-120.7835,2.9,C,37045959,62,2720
9/29/2014,46:41.0,eq,r,2.7,h,36.66583,-120.77967,6.1,C,37046007,10,151
9/29/2014,14:22.7,eq,r,2.3,h,36.60267,-121.2055,10,B,37046119,8,105
9/30/2014,18:51.6,eq,r,2.5,h,36.93383,-120.59917,13.2,D,37046287,9,153
9/30/2014,08:20.0,eq,r,2.7,h,36.68933,-120.8135,18.5,B,37046511,9,154
10/1/2014,34:40.5,eq,r,2.9,h,35.784,-120.324,10.3,B,37046559,21,2157
10/1/2014,17:56.8,eq,r,1.56,l,36.48717,-116.54917,4.2,C,37046575,25,90
10/1/2014,59:59.0,eq,r,1.6,h,37.598,-118.85433,2.5,B,37046703,7,29
10/1/2014,17:40.7,eq,r,3,h,36.671,-120.78283,8.3,C,37046751,10,215
10/2/2014,36:20.3,eq,r,1.9,h,37.39017,-118.56533,20.7,C,37046847,11,28
10/3/2014,20:07.8,eq,r,1.92,l,36.03267,-119.9,12.5,C,37047135,20,144
10/3/2014,36:23.5,eq,r,2.1,h,37.61117,-118.861,4.1,B,37047151,8,44
10/3/2014,39:41.4,eq,r,1.8,h,37.63583,-118.883,1.9,B,37047167,7,59
10/4/2014,45:24.4,eq,r,2.37,l,34.68667,-121.57617,4.6,D,37047287,15,140
10/5/2014,56:21.0,eq,r,1.4,h,35.31083,-120.8145,4.7,C,37047655,16,1299
10/5/2014,11:26.4,eq,r,3.6,h,35.8925,-115.2555,4.2,C,37047759,41,2494
10/5/2014,30:25.8,eq,r,1.5,h,35.66467,-121.15367,4.8,C,37047791,12,128
10/6/2014,57:31.5,eq,r,2.3,h,37.63867,-118.85733,2.9,B,37048039,7,30
10/6/2014,00:45.4,eq,r,1.7,h,37.64433,-118.85617,2.5,B,37048047,7,42
10/6/2014,17:18.2,eq,r,1.69,l,34.8305,-120.99367,5.6,C,37048063,35,844
10/6/2014,48:22.8,eq,r,2,h,35.8185,-121.5255,4.1,C,37048143,11,72
10/7/2014,01:52.1,eq,r,2.8,h,36.79333,-121.55183,4.8,C,37048463,12,168
10/8/2014,52:34.6,eq,r,2.1,h,37.49767,-118.80267,11.7,B,37048727,9,39
10/8/2014,03:27.0,eq,r,2.2,h,37.44733,-118.77867,4.3,C,37048735,13,128
